XR,R,G,bestF,avgF
1,1,0,88,0.18199999999999972
1,1,1,88,0.18200000000000008
1,1,2,88,0.18199999999999997
1,1,3,89,0.18200000000000013
1,1,4,89,0.18199999999999988
1,1,5,89,0.182
1,1,6,90,0.18200000000000013
1,1,7,89,0.18199999999999975
1,1,8,89,0.1819999999999999
1,1,9,89,0.182
1,1,10,89,0.18200000000000022
1,1,11,90,0.1819999999999999
1,1,12,90,0.18200000000000016
1,1,13,90,0.18200000000000022
1,1,14,90,0.18199999999999994
1,1,15,90,0.18199999999999972
1,1,16,90,0.1820000000000002
1,1,17,90,0.18199999999999986
1,1,18,90,0.18199999999999986
1,1,19,90,0.18199999999999997
1,1,20,90,0.18200000000000008
1,1,21,90,0.18200000000000016
1,1,22,90,0.18199999999999994
1,1,23,90,0.18200000000000036
1,1,24,90,0.18200000000000016
1,1,25,90,0.18200000000000002
1,1,26,90,0.18200000000000008
1,1,27,90,0.18200000000000013
1,1,28,90,0.18200000000000013
1,1,29,90,0.1819999999999998
1,1,30,90,0.18200000000000005
1,1,31,90,0.18200000000000033
1,1,32,90,0.18200000000000022
1,1,33,90,0.18200000000000016
1,1,34,90,0.18200000000000033
1,1,35,90,0.18199999999999997
1,1,36,90,0.18199999999999975
1,1,37,90,0.182
1,1,38,90,0.18200000000000002
1,1,39,90,0.18200000000000005
1,1,40,90,0.18200000000000002
1,1,41,90,0.1820000000000001
1,1,42,90,0.18199999999999994
1,1,43,90,0.1820000000000001
1,1,44,90,0.18200000000000002
1,1,45,91,0.18200000000000002
1,2,0,90,0.182
1,2,1,88,0.1819999999999997
1,2,2,89,0.18200000000000005
1,2,3,89,0.18199999999999988
1,2,4,89,0.18199999999999994
1,2,5,89,0.18200000000000005
1,2,6,89,0.1819999999999998
1,2,7,89,0.182
1,2,8,89,0.18200000000000013
1,2,9,89,0.18199999999999988
1,2,10,89,0.1819999999999999
1,2,11,90,0.18199999999999977
1,2,12,91,0.182
1,3,0,89,0.18200000000000005
1,3,1,88,0.18200000000000005
1,3,2,88,0.182
1,3,3,89,0.18199999999999983
1,3,4,90,0.18199999999999997
1,3,5,90,0.18200000000000002
1,3,6,90,0.18199999999999975
1,3,7,90,0.1819999999999999
1,3,8,90,0.1820000000000002
1,3,9,90,0.18199999999999977
1,3,10,90,0.18200000000000005
1,3,11,90,0.1820000000000002
1,3,12,91,0.18200000000000013
1,4,0,87,0.18200000000000005
1,4,1,88,0.18199999999999986
1,4,2,89,0.182
1,4,3,90,0.18200000000000013
1,4,4,89,0.18199999999999994
1,4,5,89,0.18199999999999997
1,4,6,89,0.18199999999999986
1,4,7,89,0.1820000000000001
1,4,8,90,0.18200000000000016
1,4,9,89,0.18200000000000027
1,4,10,90,0.18199999999999997
1,4,11,90,0.18199999999999994
1,4,12,90,0.18199999999999986
1,4,13,90,0.18199999999999997
1,4,14,90,0.1819999999999999
1,4,15,90,0.182
1,4,16,90,0.18200000000000013
1,4,17,90,0.18200000000000008
1,4,18,90,0.18200000000000008
1,4,19,91,0.18200000000000005
1,5,0,89,0.1819999999999999
1,5,1,89,0.18199999999999997
1,5,2,89,0.18199999999999988
1,5,3,88,0.1820000000000001
1,5,4,89,0.18200000000000005
1,5,5,90,0.18200000000000016
1,5,6,90,0.18199999999999994
1,5,7,90,0.18200000000000016
1,5,8,90,0.18199999999999983
1,5,9,91,0.18199999999999983
1,6,0,89,0.1819999999999999
1,6,1,89,0.1820000000000001
1,6,2,89,0.18200000000000002
1,6,3,89,0.18199999999999986
1,6,4,88,0.18199999999999986
1,6,5,89,0.18200000000000008
1,6,6,89,0.18199999999999994
1,6,7,89,0.182
1,6,8,89,0.18200000000000005
1,6,9,90,0.18199999999999997
1,6,10,90,0.18199999999999997
1,6,11,89,0.18199999999999994
1,6,12,89,0.18200000000000005
1,6,13,90,0.1819999999999997
1,6,14,90,0.18199999999999975
1,6,15,90,0.18199999999999997
1,6,16,90,0.18200000000000008
1,6,17,90,0.18200000000000002
1,6,18,90,0.18199999999999986
1,6,19,90,0.1820000000000001
1,6,20,90,0.18199999999999988
1,6,21,90,0.18200000000000024
1,6,22,90,0.18199999999999975
1,6,23,90,0.1819999999999998
1,6,24,90,0.18199999999999983
1,6,25,90,0.18199999999999963
1,6,26,91,0.18200000000000016
1,7,0,88,0.18199999999999977
1,7,1,89,0.1820000000000001
1,7,2,88,0.1819999999999998
1,7,3,89,0.18200000000000002
1,7,4,89,0.18199999999999994
1,7,5,90,0.1819999999999999
1,7,6,90,0.1819999999999999
1,7,7,90,0.1819999999999999
1,7,8,90,0.18200000000000002
1,7,9,91,0.1819999999999999
1,8,0,88,0.18199999999999983
1,8,1,89,0.18199999999999977
1,8,2,89,0.18200000000000022
1,8,3,89,0.18200000000000005
1,8,4,89,0.18199999999999986
1,8,5,89,0.18199999999999994
1,8,6,90,0.18199999999999986
1,8,7,89,0.182
1,8,8,91,0.18200000000000013
1,9,0,89,0.18199999999999988
1,9,1,89,0.1819999999999999
1,9,2,88,0.18199999999999994
1,9,3,89,0.182
1,9,4,90,0.18199999999999983
1,9,5,90,0.1820000000000001
1,9,6,90,0.18200000000000008
1,9,7,90,0.18200000000000002
1,9,8,90,0.18200000000000008
1,9,9,90,0.18199999999999997
1,9,10,90,0.1819999999999999
1,9,11,90,0.18199999999999994
1,9,12,90,0.1820000000000002
1,9,13,90,0.1820000000000002
1,9,14,90,0.1819999999999999
1,9,15,90,0.182
1,9,16,90,0.18200000000000022
1,9,17,90,0.18200000000000013
1,9,18,90,0.1820000000000004
1,9,19,90,0.18200000000000005
1,9,20,90,0.1819999999999999
1,9,21,90,0.18200000000000005
1,9,22,90,0.18200000000000036
1,9,23,91,0.1820000000000002
1,10,0,88,0.18199999999999994
1,10,1,88,0.1820000000000001
1,10,2,91,0.182
1,11,0,89,0.18199999999999997
1,11,1,89,0.1819999999999999
1,11,2,89,0.1819999999999999
1,11,3,89,0.18199999999999994
1,11,4,90,0.1819999999999999
1,11,5,90,0.1819999999999999
1,11,6,90,0.18199999999999997
1,11,7,89,0.18199999999999994
1,11,8,89,0.18200000000000008
1,11,9,89,0.18200000000000016
1,11,10,90,0.18199999999999997
1,11,11,90,0.18199999999999975
1,11,12,90,0.18199999999999988
1,11,13,89,0.18200000000000008
1,11,14,90,0.18199999999999977
1,11,15,90,0.18200000000000024
1,11,16,90,0.18200000000000002
1,11,17,90,0.18200000000000016
1,11,18,90,0.1820000000000001
1,11,19,90,0.18199999999999997
1,11,20,91,0.18199999999999983
1,12,0,88,0.18200000000000008
1,12,1,88,0.1819999999999999
1,12,2,88,0.18200000000000005
1,12,3,88,0.18199999999999997
1,12,4,89,0.18200000000000002
1,12,5,90,0.18199999999999988
1,12,6,89,0.1820000000000001
1,12,7,89,0.18199999999999994
1,12,8,90,0.18200000000000005
1,12,9,90,0.1819999999999999
1,12,10,90,0.18200000000000005
1,12,11,89,0.18200000000000008
1,12,12,89,0.18200000000000008
1,12,13,89,0.18200000000000013
1,12,14,89,0.1819999999999999
1,12,15,89,0.18200000000000008
1,12,16,89,0.18199999999999994
1,12,17,89,0.18200000000000005
1,12,18,89,0.1819999999999998
1,12,19,90,0.18200000000000016
1,12,20,90,0.1820000000000002
1,12,21,90,0.1819999999999999
1,12,22,90,0.18200000000000005
1,12,23,90,0.18200000000000024
1,12,24,90,0.18200000000000027
1,12,25,90,0.18200000000000005
1,12,26,90,0.18200000000000008
1,12,27,90,0.1820000000000001
1,12,28,90,0.18199999999999977
1,12,29,90,0.18200000000000016
1,12,30,90,0.1819999999999999
1,12,31,90,0.182
1,12,32,91,0.18200000000000033
1,13,0,88,0.18199999999999997
1,13,1,89,0.18200000000000013
1,13,2,89,0.18200000000000005
1,13,3,89,0.18199999999999986
1,13,4,89,0.18200000000000022
1,13,5,89,0.18200000000000002
1,13,6,90,0.18199999999999988
1,13,7,90,0.182
1,13,8,89,0.18199999999999983
1,13,9,90,0.182
1,13,10,90,0.1819999999999999
1,13,11,90,0.18200000000000002
1,13,12,90,0.18200000000000008
1,13,13,90,0.18199999999999997
1,13,14,90,0.18200000000000005
1,13,15,90,0.18200000000000013
1,13,16,90,0.18200000000000024
1,13,17,90,0.18199999999999975
1,13,18,90,0.18199999999999994
1,13,19,90,0.1820000000000001
1,13,20,90,0.18199999999999994
1,13,21,90,0.18200000000000008
1,13,22,91,0.18199999999999997
1,14,0,90,0.18200000000000013
1,14,1,90,0.18199999999999977
1,14,2,90,0.18200000000000002
1,14,3,89,0.1819999999999999
1,14,4,89,0.182
1,14,5,89,0.1819999999999999
1,14,6,89,0.1820000000000002
1,14,7,89,0.1820000000000001
1,14,8,89,0.18200000000000022
1,14,9,90,0.18200000000000002
1,14,10,90,0.18199999999999994
1,14,11,90,0.18200000000000008
1,14,12,90,0.18200000000000005
1,14,13,90,0.18199999999999994
