XR,R,G,bestF,avgF
1,1,0,89.0,79.748
1,1,1,89.0,81.142
1,1,2,89.0,82.132
1,1,3,89.0,82.89
1,1,4,89.0,83.572
1,1,5,89.0,84.234
1,1,6,89.0,84.726
1,1,7,89.0,85.152
1,1,8,89.0,85.528
1,1,9,89.0,85.86
1,1,10,90.0,86.172
1,1,11,90.0,86.454
1,1,12,90.0,86.644
1,1,13,90.0,86.882
1,1,14,90.0,87.044
1,1,15,90.0,87.202
1,1,16,90.0,87.374
1,1,17,90.0,87.526
1,1,18,90.0,87.606
1,1,19,90.0,87.704
1,1,20,90.0,87.804
1,1,21,90.0,87.888
1,1,22,91.0,87.984
1,2,0,88.0,79.73
1,2,1,89.0,81.23
1,2,2,89.0,82.356
1,2,3,90.0,83.236
1,2,4,90.0,83.942
1,2,5,90.0,84.566
1,2,6,90.0,84.99
1,2,7,90.0,85.388
1,2,8,90.0,85.684
1,2,9,90.0,86.01
1,2,10,90.0,86.288
1,2,11,90.0,86.52
1,2,12,90.0,86.706
1,2,13,90.0,86.91
1,2,14,90.0,87.078
1,2,15,90.0,87.228
1,2,16,90.0,87.378
1,2,17,90.0,87.492
1,2,18,90.0,87.6
1,2,19,90.0,87.738
1,2,20,90.0,87.85
1,2,21,90.0,87.954
1,2,22,90.0,88.028
1,2,23,90.0,88.12
1,2,24,90.0,88.208
1,2,25,90.0,88.29
1,2,26,91.0,88.368
1,3,0,88.0,79.702
1,3,1,88.0,80.996
1,3,2,89.0,82.126
1,3,3,89.0,82.972
1,3,4,90.0,83.668
1,3,5,90.0,84.212
1,3,6,90.0,84.728
1,3,7,90.0,85.19
1,3,8,90.0,85.558
1,3,9,91.0,85.86
1,4,0,89.0,79.67
1,4,1,89.0,81.038
1,4,2,89.0,82.174
1,4,3,89.0,83.002
1,4,4,89.0,83.716
1,4,5,89.0,84.37
1,4,6,89.0,84.774
1,4,7,89.0,85.192
1,4,8,89.0,85.582
1,4,9,90.0,85.89
1,4,10,90.0,86.176
1,4,11,90.0,86.422
1,4,12,90.0,86.622
1,4,13,90.0,86.828
1,4,14,90.0,86.988
1,4,15,90.0,87.136
1,4,16,90.0,87.32
1,4,17,91.0,87.45
1,5,0,90.0,79.614
1,5,1,90.0,81.098
1,5,2,90.0,82.276
1,5,3,90.0,83.044
1,5,4,90.0,83.77
1,5,5,90.0,84.338
1,5,6,90.0,84.842
1,5,7,90.0,85.23
1,5,8,90.0,85.568
1,5,9,90.0,85.896
1,5,10,90.0,86.136
1,5,11,90.0,86.368
1,5,12,90.0,86.62
1,5,13,90.0,86.784
1,5,14,90.0,86.964
1,5,15,91.0,87.138
1,6,0,87.0,79.92
1,6,1,89.0,81.244
1,6,2,89.0,82.264
1,6,3,90.0,83.124
1,6,4,90.0,83.812
1,6,5,90.0,84.37
1,6,6,90.0,84.804
1,6,7,90.0,85.21
1,6,8,90.0,85.52
1,6,9,90.0,85.836
1,6,10,90.0,86.112
1,6,11,90.0,86.342
1,6,12,90.0,86.592
1,6,13,90.0,86.76
1,6,14,90.0,86.928
1,6,15,90.0,87.074
1,6,16,90.0,87.22
1,6,17,90.0,87.358
1,6,18,90.0,87.472
1,6,19,90.0,87.624
1,6,20,90.0,87.738
1,6,21,91.0,87.85
1,7,0,88.0,79.402
1,7,1,89.0,80.874
1,7,2,89.0,81.934
1,7,3,89.0,82.942
1,7,4,89.0,83.626
1,7,5,89.0,84.184
1,7,6,89.0,84.67
1,7,7,89.0,85.08
1,7,8,90.0,85.434
1,7,9,90.0,85.808
1,7,10,90.0,86.048
1,7,11,90.0,86.296
1,7,12,90.0,86.584
1,7,13,90.0,86.814
1,7,14,90.0,86.972
1,7,15,90.0,87.146
1,7,16,90.0,87.342
1,7,17,90.0,87.478
1,7,18,90.0,87.57
1,7,19,90.0,87.664
1,7,20,90.0,87.758
1,7,21,90.0,87.844
1,7,22,90.0,87.91
1,7,23,91.0,87.994
1,8,0,88.0,79.596
1,8,1,88.0,81.06
1,8,2,88.0,82.168
1,8,3,90.0,83.122
1,8,4,90.0,83.746
1,8,5,90.0,84.314
1,8,6,90.0,84.806
1,8,7,90.0,85.18
1,8,8,90.0,85.556
1,8,9,90.0,85.856
1,8,10,90.0,86.182
1,8,11,90.0,86.422
