R,G,bestF,avgF
1,0,299.0,284.114
1,1,303.0,286.244
1,2,304.0,288.39
1,3,305.0,290.304
1,4,307.0,291.79
1,5,306.0,293.168
1,6,306.0,294.318
1,7,309.0,295.768
1,8,310.0,296.784
1,9,311.0,297.98
1,10,313.0,299.326
1,11,312.0,300.532
1,12,313.0,301.662
1,13,314.0,303.054
1,14,315.0,304.096
1,15,314.0,305.184
1,16,315.0,305.902
1,17,317.0,306.74
1,18,317.0,307.682
1,19,317.0,308.234
1,20,317.0,309.228
1,21,318.0,309.892
1,22,319.0,310.502
1,23,319.0,311.194
1,24,319.0,311.776
1,25,320.0,312.092
1,26,320.0,312.578
1,27,322.0,313.296
1,28,321.0,313.98
1,29,322.0,314.31
1,30,321.0,314.882
1,31,321.0,315.522
1,32,322.0,315.84
1,33,323.0,316.182
1,34,322.0,316.72
1,35,322.0,317.136
1,36,322.0,317.36
1,37,322.0,317.68
1,38,323.0,318.352
1,39,322.0,318.46
1,40,322.0,318.524
1,41,322.0,318.584
1,42,323.0,318.798
1,43,323.0,318.936
1,44,323.0,319.026
1,45,323.0,319.21
1,46,323.0,319.33
1,47,323.0,319.46
1,48,323.0,319.552
1,49,323.0,319.608
1,50,322.0,319.786
1,51,322.0,319.672
1,52,323.0,319.896
1,53,323.0,319.798
1,54,323.0,319.838
1,55,323.0,319.862
1,56,323.0,319.998
1,57,323.0,319.978
1,58,323.0,319.92
1,59,323.0,319.974
1,60,323.0,319.906
1,61,323.0,320.022
1,62,323.0,319.906
1,63,323.0,319.886
1,64,323.0,319.776
1,65,323.0,320.004
1,66,323.0,320.03
1,67,323.0,320.018
1,68,323.0,320.158
1,69,323.0,320.03
1,70,323.0,320.014
1,71,323.0,319.936
1,72,323.0,319.982
1,73,324.0,320.014
1,74,324.0,320.05
1,75,324.0,320.02
1,76,324.0,320.132
1,77,324.0,320.236
1,78,324.0,320.374
1,79,324.0,320.392
1,80,324.0,320.428
1,81,324.0,320.648
1,82,324.0,320.748
1,83,324.0,320.918
1,84,324.0,321.082
1,85,324.0,320.998
1,86,324.0,321.146
1,87,324.0,321.116
1,88,324.0,321.1
1,89,324.0,320.732
1,90,324.0,320.954
1,91,324.0,321.082
1,92,324.0,321.006
1,93,324.0,320.982
1,94,324.0,320.926
1,95,324.0,320.966
1,96,324.0,320.97
1,97,324.0,321.016
1,98,324.0,320.874
1,99,324.0,320.992
1,100,324.0,321.274
1,101,325.0,321.544
1,102,324.0,321.424
1,103,324.0,321.294
1,104,324.0,321.362
1,105,325.0,321.65
1,106,324.0,321.658
1,107,325.0,321.75
1,108,324.0,321.914
1,109,325.0,321.846
1,110,324.0,321.752
1,111,325.0,321.684
1,112,325.0,321.658
1,113,325.0,321.766
1,114,325.0,321.818
1,115,325.0,321.578
1,116,325.0,321.704
1,117,325.0,321.524
1,118,325.0,321.554
1,119,325.0,321.73
1,120,325.0,321.844
1,121,325.0,321.834
1,122,325.0,321.688
1,123,325.0,321.852
1,124,325.0,322.048
1,125,325.0,321.998
1,126,325.0,321.962
1,127,325.0,321.964
1,128,325.0,322.122
1,129,325.0,322.036
1,130,325.0,322.272
1,131,325.0,322.166
1,132,325.0,322.466
1,133,325.0,322.484
1,134,325.0,322.564
1,135,325.0,322.462
1,136,325.0,322.306
1,137,325.0,322.316
1,138,325.0,322.34
1,139,325.0,322.422
1,140,325.0,322.518
1,141,325.0,322.556
1,142,325.0,322.53
1,143,325.0,322.58
1,144,325.0,322.586
1,145,325.0,322.784
1,146,325.0,322.862
1,147,325.0,322.69
1,148,325.0,322.636
1,149,325.0,322.526
1,150,325.0,322.642
1,151,325.0,322.714
1,152,325.0,322.826
1,153,325.0,322.652
1,154,325.0,322.508
1,155,325.0,322.62
1,156,325.0,322.53
1,157,325.0,322.574
1,158,325.0,322.734
1,159,325.0,322.706
1,160,325.0,322.716
1,161,325.0,322.556
1,162,325.0,322.682
1,163,325.0,322.672
1,164,325.0,322.602
1,165,325.0,322.812
1,166,325.0,322.51
1,167,325.0,322.502
1,168,325.0,322.656
1,169,325.0,322.748
1,170,325.0,322.674
1,171,325.0,322.472
1,172,325.0,322.662
1,173,325.0,322.754
1,174,325.0,322.69
1,175,325.0,322.642
1,176,325.0,322.646
1,177,325.0,322.702
1,178,325.0,322.646
1,179,325.0,322.396
1,180,325.0,322.5
1,181,325.0,322.604
1,182,325.0,322.464
1,183,325.0,322.57
1,184,325.0,322.714
1,185,325.0,322.614
1,186,325.0,322.762
1,187,325.0,322.736
1,188,325.0,322.826
1,189,325.0,322.644
1,190,325.0,322.864
1,191,325.0,322.736
1,192,325.0,322.686
1,193,325.0,322.544
1,194,325.0,322.73
1,195,325.0,322.704
1,196,325.0,322.618
1,197,325.0,322.392
1,198,325.0,322.684
1,199,325.0,322.56
2,0,300.0,284.082
2,1,303.0,286.83
2,2,302.0,288.482
2,3,307.0,289.502
2,4,307.0,291.6
2,5,305.0,292.996
2,6,307.0,294.346
2,7,310.0,295.694
2,8,310.0,296.416
2,9,309.0,297.528
2,10,310.0,298.214
2,11,311.0,299.53
2,12,313.0,300.65
2,13,313.0,301.778
2,14,314.0,303.03
2,15,314.0,304.37
2,16,316.0,305.664
2,17,317.0,306.906
2,18,318.0,307.988
2,19,319.0,309.512
2,20,319.0,310.592
2,21,320.0,311.35
2,22,321.0,311.884
2,23,321.0,312.648
2,24,320.0,313.754
2,25,321.0,314.456
2,26,322.0,315.076
2,27,322.0,315.6
2,28,322.0,316.156
2,29,322.0,316.62
2,30,323.0,316.982
2,31,322.0,317.384
2,32,322.0,317.676
2,33,323.0,317.974
2,34,323.0,318.16
2,35,323.0,318.416
2,36,323.0,318.82
2,37,323.0,318.786
2,38,323.0,319.14
2,39,323.0,319.476
2,40,323.0,319.696
2,41,323.0,319.796
2,42,323.0,319.874
2,43,323.0,319.956
2,44,323.0,319.992
2,45,323.0,319.876
2,46,323.0,319.858
2,47,323.0,319.996
2,48,323.0,319.982
2,49,323.0,320.076
2,50,323.0,320.096
2,51,323.0,319.838
2,52,323.0,320.094
2,53,323.0,319.932
2,54,323.0,320.222
2,55,323.0,320.322
2,56,323.0,320.554
2,57,323.0,320.488
2,58,323.0,320.734
2,59,323.0,320.758
2,60,323.0,320.92
