R,G,bestF,avgF
1,0,958.0,931.358
1,1,967.0,936.768
1,2,970.0,940.314
1,3,973.0,943.13
1,4,973.0,946.052
1,5,975.0,948.746
1,6,979.0,950.708
1,7,987.0,952.772
1,8,986.0,955.32
1,9,986.0,958.15
1,10,987.0,960.458
1,11,991.0,963.248
1,12,998.0,965.936
1,13,991.0,968.686
1,14,996.0,971.246
1,15,999.0,972.76
1,16,995.0,974.402
1,17,1000.0,976.188
1,18,1003.0,978.494
1,19,1003.0,980.48
1,20,1007.0,982.44
1,21,1006.0,984.372
1,22,1008.0,985.636
1,23,1010.0,987.748
1,24,1009.0,989.638
1,25,1012.0,991.564
1,26,1014.0,992.68
1,27,1013.0,994.354
1,28,1017.0,995.408
1,29,1017.0,996.818
1,30,1018.0,998.152
1,31,1018.0,999.686
1,32,1019.0,1000.932
1,33,1023.0,1002.206
1,34,1021.0,1003.326
1,35,1024.0,1004.094
1,36,1025.0,1005.198
1,37,1024.0,1006.32
1,38,1028.0,1007.544
1,39,1028.0,1009.05
1,40,1028.0,1010.354
1,41,1028.0,1011.1
1,42,1030.0,1012.04
1,43,1030.0,1012.666
1,44,1032.0,1013.756
1,45,1032.0,1013.946
1,46,1031.0,1015.206
1,47,1030.0,1015.574
1,48,1031.0,1016.178
1,49,1035.0,1016.688
1,50,1035.0,1016.976
1,51,1035.0,1018.13
1,52,1035.0,1018.458
1,53,1037.0,1019.26
1,54,1034.0,1019.534
1,55,1036.0,1019.94
1,56,1040.0,1020.788
1,57,1041.0,1021.344
1,58,1037.0,1021.9
1,59,1037.0,1022.01
1,60,1040.0,1022.472
1,61,1040.0,1022.43
1,62,1042.0,1023.824
1,63,1039.0,1024.262
1,64,1040.0,1024.456
1,65,1042.0,1025.184
1,66,1041.0,1025.552
1,67,1042.0,1025.906
1,68,1043.0,1025.826
1,69,1044.0,1025.95
1,70,1042.0,1026.494
1,71,1045.0,1027.14
1,72,1044.0,1027.6
1,73,1043.0,1027.556
1,74,1044.0,1028.142
1,75,1043.0,1028.004
1,76,1044.0,1028.2
1,77,1047.0,1028.232
1,78,1043.0,1028.932
1,79,1046.0,1028.836
1,80,1049.0,1029.778
1,81,1046.0,1030.242
1,82,1045.0,1030.734
1,83,1047.0,1030.51
1,84,1046.0,1030.932
1,85,1047.0,1030.608
1,86,1045.0,1030.844
1,87,1046.0,1030.674
1,88,1045.0,1030.982
1,89,1045.0,1030.842
1,90,1046.0,1030.82
1,91,1046.0,1030.946
1,92,1046.0,1030.806
1,93,1046.0,1030.822
1,94,1046.0,1030.85
1,95,1047.0,1031.166
1,96,1046.0,1031.352
1,97,1049.0,1032.024
1,98,1046.0,1032.378
1,99,1048.0,1032.35
1,100,1047.0,1032.45
1,101,1047.0,1033.31
1,102,1048.0,1033.29
1,103,1051.0,1033.718
1,104,1050.0,1034.026
1,105,1047.0,1033.536
1,106,1048.0,1033.442
1,107,1048.0,1033.646
1,108,1048.0,1033.78
1,109,1048.0,1033.498
1,110,1050.0,1034.136
1,111,1054.0,1034.514
1,112,1050.0,1034.516
1,113,1048.0,1034.952
1,114,1050.0,1034.958
1,115,1050.0,1034.834
1,116,1048.0,1034.738
1,117,1052.0,1035.112
1,118,1049.0,1035.04
1,119,1050.0,1035.192
1,120,1054.0,1035.412
1,121,1052.0,1035.608
1,122,1051.0,1036.228
1,123,1051.0,1036.786
1,124,1052.0,1036.854
1,125,1051.0,1036.866
1,126,1054.0,1037.132
1,127,1055.0,1036.698
1,128,1051.0,1037.316
1,129,1054.0,1037.1
1,130,1053.0,1036.692
1,131,1052.0,1036.374
1,132,1050.0,1036.398
1,133,1051.0,1036.546
1,134,1053.0,1037.158
1,135,1056.0,1037.12
1,136,1052.0,1037.594
1,137,1052.0,1037.562
1,138,1054.0,1037.862
1,139,1052.0,1038.246
1,140,1052.0,1038.448
1,141,1053.0,1037.93
1,142,1051.0,1038.078
1,143,1051.0,1037.92
1,144,1052.0,1037.83
1,145,1053.0,1037.728
1,146,1051.0,1037.834
1,147,1051.0,1038.308
1,148,1052.0,1038.482
1,149,1056.0,1038.42
1,150,1054.0,1038.67
1,151,1052.0,1038.17
1,152,1053.0,1038.39
1,153,1051.0,1037.934
1,154,1053.0,1037.64
1,155,1052.0,1037.476
1,156,1053.0,1037.358
1,157,1052.0,1037.284
1,158,1053.0,1037.632
1,159,1053.0,1037.56
1,160,1052.0,1037.428
1,161,1051.0,1037.86
1,162,1051.0,1037.694
1,163,1053.0,1037.496
1,164,1051.0,1037.898
1,165,1052.0,1037.514
1,166,1054.0,1037.642
1,167,1052.0,1037.46
1,168,1054.0,1037.438
1,169,1052.0,1037.62
1,170,1051.0,1037.552
1,171,1052.0,1038.208
1,172,1054.0,1038.48
1,173,1055.0,1038.96
1,174,1053.0,1039.158
1,175,1054.0,1039.082
1,176,1053.0,1039.152
1,177,1051.0,1039.226
1,178,1054.0,1038.822
1,179,1052.0,1039.01
