R,G,bestF,avgF
1,0,204.0,190.668
1,1,204.0,192.608
1,2,208.0,194.252
1,3,208.0,195.702
1,4,208.0,196.58
1,5,210.0,197.634
1,6,209.0,198.678
1,7,209.0,199.788
1,8,210.0,201.218
1,9,211.0,201.796
1,10,212.0,202.536
1,11,213.0,203.192
1,12,213.0,203.812
1,13,212.0,204.682
1,14,212.0,205.11
1,15,212.0,205.74
1,16,213.0,206.778
1,17,213.0,207.336
1,18,214.0,208.146
1,19,214.0,208.996
1,20,214.0,209.768
1,21,215.0,210.494
1,22,216.0,211.234
1,23,215.0,211.81
1,24,216.0,212.486
1,25,216.0,212.986
1,26,216.0,213.486
1,27,216.0,213.816
1,28,216.0,214.078
1,29,217.0,214.366
1,30,216.0,214.644
1,31,216.0,214.88
1,32,216.0,215.04
1,33,216.0,215.278
1,34,216.0,215.584
1,35,216.0,215.78
1,36,216.0,215.83
1,37,216.0,215.884
1,38,216.0,215.876
1,39,216.0,215.876
1,40,217.0,215.868
1,41,217.0,215.876
1,42,217.0,215.878
1,43,217.0,215.848
1,44,217.0,215.92
1,45,217.0,215.856
1,46,217.0,215.92
1,47,217.0,215.924
1,48,217.0,215.968
1,49,217.0,216.038
1,50,217.0,216.244
1,51,217.0,216.412
1,52,217.0,216.698
1,53,217.0,216.82
1,54,217.0,216.892
1,55,217.0,216.86
1,56,217.0,216.902
1,57,217.0,216.862
1,58,217.0,216.852
1,59,217.0,216.878
1,60,217.0,216.842
1,61,217.0,216.766
1,62,217.0,216.85
1,63,217.0,216.9
1,64,217.0,216.856
1,65,217.0,216.904
1,66,217.0,216.898
1,67,217.0,216.852
1,68,217.0,216.88
1,69,217.0,216.876
1,70,217.0,216.876
1,71,217.0,216.856
1,72,217.0,216.828
1,73,217.0,216.904
1,74,217.0,216.922
1,75,217.0,216.872
1,76,217.0,216.894
1,77,217.0,216.878
1,78,217.0,216.902
1,79,217.0,216.864
1,80,217.0,216.87
1,81,217.0,216.85
1,82,217.0,216.874
1,83,217.0,216.88
1,84,217.0,216.904
1,85,217.0,216.888
1,86,217.0,216.844
1,87,217.0,216.932
1,88,217.0,216.886
1,89,217.0,216.866
1,90,217.0,216.858
1,91,217.0,216.826
1,92,217.0,216.834
1,93,217.0,216.814
1,94,217.0,216.894
1,95,217.0,216.854
1,96,217.0,216.866
1,97,217.0,216.87
1,98,218.0,216.89
1,99,218.0,216.89
