R,G,bestF,avgF
1,0,60.0,122.784
1,1,69.0,116.925
1,2,66.0,111.576
1,3,63.0,108.141
1,4,60.0,104.709
1,5,57.0,101.049
1,6,57.0,98.1
1,7,51.0,94.983
1,8,51.0,92.502
1,9,42.0,89.037
1,10,45.0,86.469
1,11,45.0,83.454
1,12,39.0,79.35
1,13,39.0,76.401
1,14,30.0,74.067
1,15,33.0,71.193
1,16,33.0,68.094
1,17,30.0,64.986
1,18,27.0,62.259
1,19,24.0,60.501
1,20,21.0,57.426
1,21,18.0,55.053
1,22,15.0,52.662
1,23,21.0,50.274
1,24,15.0,47.355
1,25,18.0,44.823
1,26,15.0,42.666
1,27,15.0,40.62
1,28,15.0,39.174
1,29,12.0,37.584
1,30,12.0,36.021
1,31,12.0,34.857
1,32,12.0,33.657
1,33,9.0,32.595
1,34,9.0,30.642
1,35,9.0,29.604
1,36,9.0,28.56
1,37,9.0,27.768
1,38,6.0,26.766
1,39,9.0,25.869
1,40,6.0,24.054
1,41,9.0,24.18
1,42,6.0,23.451
1,43,6.0,22.689
1,44,6.0,21.468
1,45,6.0,20.763
1,46,6.0,20.079
1,47,6.0,18.951
1,48,6.0,18.525
1,49,6.0,18.183
1,50,6.0,18.174
1,51,6.0,17.682
1,52,6.0,17.262
1,53,6.0,16.947
1,54,6.0,16.542
1,55,6.0,15.921
1,56,6.0,15.702
1,57,6.0,15.45
1,58,6.0,15.03
1,59,6.0,15.012
1,60,6.0,15.153
1,61,6.0,14.772
1,62,6.0,14.505
1,63,6.0,14.289
1,64,6.0,14.079
1,65,6.0,14.061
1,66,6.0,13.95
1,67,6.0,13.992
1,68,6.0,14.331
1,69,6.0,13.881
1,70,6.0,14.073
1,71,6.0,14.01
1,72,6.0,14.583
1,73,6.0,14.571
1,74,6.0,14.607
1,75,6.0,14.49
1,76,6.0,14.325
1,77,6.0,14.274
1,78,6.0,13.863
1,79,6.0,13.716
1,80,6.0,13.737
1,81,6.0,13.851
1,82,6.0,13.797
1,83,6.0,13.995
1,84,6.0,13.746
1,85,6.0,13.884
1,86,6.0,14.019
1,87,6.0,13.92
1,88,6.0,14.622
1,89,6.0,14.691
1,90,6.0,14.307
1,91,6.0,13.863
1,92,6.0,13.86
1,93,6.0,14.025
1,94,6.0,13.848
1,95,6.0,13.821
1,96,6.0,13.476
1,97,6.0,14.01
1,98,6.0,14.217
1,99,6.0,14.049
1,100,6.0,14.151
1,101,6.0,14.124
1,102,6.0,14.604
1,103,6.0,14.286
1,104,6.0,14.703
1,105,6.0,14.382
1,106,6.0,14.28
1,107,6.0,14.232
1,108,6.0,14.151
1,109,6.0,13.911
1,110,6.0,13.602
1,111,6.0,13.818
1,112,6.0,14.043
1,113,6.0,14.139
1,114,6.0,14.289
1,115,6.0,14.667
1,116,6.0,14.403
1,117,6.0,13.905
1,118,6.0,13.809
1,119,6.0,13.719
1,120,6.0,13.932
1,121,6.0,14.25
1,122,6.0,14.721
1,123,6.0,14.679
1,124,6.0,14.946
1,125,6.0,14.559
1,126,6.0,14.508
1,127,6.0,14.547
